iter	Passed	Remaining
1198	23595	15762
1199	23615	15743
1200	23635	15724
1201	23655	15704
1202	23674	15684
1203	23692	15663
1204	23709	15642
1205	23725	15620
1206	23742	15598
1207	23759	15577
1208	23774	15554
1209	23791	15533
1210	23807	15511
1211	23833	15495
1212	23854	15477
1213	23874	15457
1214	23890	15435
1215	23907	15413
1216	23925	15393
1217	23944	15373
1218	23965	15354
1219	23985	15334
1220	24002	15313
1221	24019	15292
1222	24038	15271
1223	24054	15250
1224	24071	15229
1225	24088	15207
1226	24105	15186
1227	24123	15165
1228	24143	15145
1229	24160	15124
1230	24176	15103
1231	24195	15082
1232	24212	15061
1233	24230	15041
1234	24247	15019
1235	24267	15000
1236	24283	14978
1237	24299	14956
1238	24318	14936
1239	24341	14919
1240	24358	14897
1241	24375	14876
1242	24394	14856
1243	24412	14835
1244	24429	14814
1245	24447	14793
1246	24467	14774
1247	24483	14752
1248	24499	14731
1249	24520	14712
1250	24540	14692
1251	24561	14674
1252	24579	14653
1253	24597	14632
1254	24618	14613
1255	24636	14593
1256	24653	14572
1257	24670	14551
1258	24696	14535
1259	24714	14514
1260	24731	14493
1261	24748	14472
1262	24764	14451
1263	24782	14430
1264	24800	14409
1265	24818	14389
1266	24835	14368
1267	24853	14347
1268	24870	14326
1269	24888	14305
1270	24906	14285
1271	24924	14264
1272	24941	14243
1273	24960	14223
1274	24980	14204
1275	24997	14183
1276	25015	14163
1277	25032	14142
1278	25050	14121
1279	25067	14100
1280	25085	14080
1281	25102	14059
1282	25120	14038
1283	25136	14017
1284	25155	13996
1285	25173	13976
1286	25191	13955
1287	25207	13934
1288	25225	13914
1289	25242	13893
1290	25260	13872
1291	25284	13855
1292	25301	13834
1293	25319	13814
1294	25338	13794
1295	25355	13773
1296	25376	13754
1297	25393	13733
1298	25410	13712
1299	25426	13691
1300	25445	13671
1301	25461	13650
1302	25478	13629
1303	25496	13608
1304	25513	13587
1305	25530	13566
1306	25546	13545
1307	25563	13524
1308	25580	13503
1309	25604	13486
1310	25621	13465
1311	25639	13445
1312	25657	13424
1313	25682	13408
1314	25699	13387
1315	25717	13366
1316	25735	13346
1317	25757	13328
1318	25779	13310
1319	25797	13289
1320	25814	13268
1321	25832	13248
1322	25853	13229
1323	25871	13209
1324	25893	13190
1325	25911	13170
1326	25928	13150
1327	25946	13129
1328	25965	13109
1329	25982	13088
1330	25998	13067
1331	26018	13048
1332	26038	13028
1333	26054	13007
1334	26078	12990
1335	26096	12970
1336	26119	12952
1337	26137	12931
1338	26155	12911
1339	26173	12891
1340	26191	12870
1341	26208	12850
1342	26226	12830
1343	26243	12809
1344	26263	12789
1345	26281	12769
1346	26300	12749
1347	26317	12729
1348	26338	12710
1349	26355	12689
1350	26373	12669
1351	26398	12652
1352	26416	12632
1353	26435	12612
1354	26453	12592
1355	26471	12572
1356	26488	12551
1357	26514	12534
1358	26531	12514
1359	26549	12493
1360	26570	12475
1361	26587	12454
1362	26605	12434
1363	26622	12413
1364	26640	12392
1365	26658	12372
1366	26677	12353
1367	26698	12334
1368	26716	12314
1369	26735	12294
1370	26751	12273
1371	26768	12252
1372	26785	12232
1373	26804	12212
1374	26820	12190
1375	26836	12170
1376	26854	12149
1377	26873	12129
1378	26890	12109
1379	26908	12089
1380	26926	12069
1381	26944	12048
1382	26961	12028
1383	26978	12007
1384	26995	11987
1385	27019	11969
1386	27039	11950
1387	27056	11929
1388	27074	11909
1389	27094	11890
1390	27112	11870
1391	27130	11849
1392	27149	11830
1393	27167	11810
1394	27183	11789
1395	27200	11768
1396	27217	11748
1397	27233	11727
1398	27250	11706
1399	27267	11685
1400	27286	11666
1401	27303	11645
1402	27319	11625
1403	27335	11604
1404	27356	11584
1405	27374	11564
1406	27392	11544
1407	27410	11525
1408	27427	11504
1409	27444	11483
1410	27460	11463
1411	27478	11442
1412	27495	11422
1413	27513	11402
1414	27530	11381
1415	27547	11361
1416	27567	11342
1417	27587	11322
1418	27604	11302
1419	27622	11282
1420	27643	11263
1421	27661	11243
1422	27678	11223
1423	27696	11203
1424	27713	11182
1425	27730	11162
1426	27749	11142
1427	27767	11122
1428	27784	11101
1429	27800	11081
1430	27817	11060
1431	27834	11040
1432	27850	11019
1433	27867	10999
1434	27884	10978
1435	27901	10958
1436	27920	10938
1437	27938	10918
1438	27955	10898
1439	27973	10878
1440	27990	10858
1441	28007	10837
1442	28026	10818
1443	28042	10797
1444	28068	10780
1445	28085	10760
1446	28104	10740
1447	28123	10721
1448	28146	10703
1449	28164	10683
1450	28180	10662
1451	28196	10641
1452	28212	10621
1453	28229	10600
1454	28246	10580
1455	28263	10560
1456	28280	10539
1457	28300	10520
1458	28316	10499
1459	28338	10481
1460	28357	10461
1461	28373	10441
1462	28390	10420
1463	28407	10400
1464	28425	10380
1465	28444	10360
1466	28464	10342
1467	28488	10324
1468	28510	10305
1469	28530	10286
1470	28547	10266
1471	28564	10245
1472	28579	10224
1473	28596	10204
1474	28613	10184
1475	28629	10163
1476	28646	10143
1477	28664	10123
1478	28682	10103
1479	28701	10084
1480	28717	10063
1481	28734	10043
1482	28752	10023
1483	28769	10003
1484	28793	9985
1485	28811	9965
1486	28827	9945
1487	28846	9925
1488	28863	9905
1489	28881	9885
1490	28898	9865
1491	28914	9845
1492	28932	9824
1493	28949	9804
1494	28971	9786
1495	28988	9766
1496	29006	9746
1497	29023	9726
1498	29039	9705
1499	29056	9685
1500	29072	9665
1501	29090	9645
1502	29107	9624
1503	29125	9605
1504	29143	9585
1505	29162	9565
1506	29182	9546
1507	29199	9526
1508	29216	9506
1509	29234	9486
1510	29251	9466
1511	29267	9446
1512	29285	9426
1513	29303	9406
1514	29321	9386
1515	29337	9366
1516	29356	9346
1517	29373	9326
1518	29392	9307
1519	29408	9286
1520	29434	9269
1521	29451	9249
1522	29468	9229
1523	29490	9210
1524	29507	9190
1525	29524	9170
1526	29542	9150
1527	29560	9131
1528	29577	9111
1529	29594	9091
1530	29612	9071
1531	29629	9051
1532	29648	9031
1533	29665	9011
1534	29682	8991
1535	29703	8972
1536	29719	8952
1537	29735	8932
1538	29754	8912
1539	29772	8893
1540	29792	8873
1541	29809	8854
1542	29826	8833
1543	29845	8814
1544	29866	8795
1545	29884	8775
1546	29901	8756
1547	29919	8736
1548	29940	8717
1549	29961	8698
1550	29979	8678
1551	29996	8658
1552	30015	8639
1553	30033	8619
1554	30050	8599
1555	30068	8579
1556	30084	8559
1557	30102	8539
1558	30118	8519
1559	30134	8499
1560	30152	8479
1561	30170	8459
1562	30187	8440
1563	30203	8419
1564	30221	8400
1565	30239	8380
1566	30256	8360
1567	30273	8340
1568	30290	8320
1569	30311	8301
1570	30330	8282
1571	30348	8262
1572	30365	8242
1573	30381	8222
1574	30399	8203
1575	30420	8184
1576	30437	8164
1577	30454	8144
1578	30472	8124
1579	30490	8104
1580	30506	8084
1581	30523	8065
1582	30541	8045
1583	30562	8026
1584	30582	8007
1585	30603	7988
1586	30619	7968
1587	30637	7948
1588	30653	7928
1589	30670	7908
1590	30690	7889
1591	30708	7869
1592	30724	7849
1593	30744	7830
1594	30761	7810
1595	30778	7791
1596	30798	7771
1597	30817	7752
1598	30835	7733
1599	30853	7713
1600	30873	7694
1601	30891	7674
1602	30907	7654
1603	30923	7634
1604	30941	7614
1605	30958	7595
1606	30975	7575
1607	30995	7555
1608	31012	7536
1609	31029	7516
1610	31050	7497
1611	31068	7477
1612	31085	7458
1613	31103	7438
1614	31120	7418
1615	31139	7399
1616	31156	7379
1617	31173	7359
1618	31192	7340
1619	31217	7322
1620	31233	7302
1621	31251	7282
1622	31268	7263
1623	31286	7243
1624	31303	7223
1625	31320	7204
1626	31337	7184
1627	31354	7164
1628	31371	7144
1629	31389	7125
1630	31406	7105
1631	31423	7085
1632	31439	7065
1633	31456	7045
1634	31479	7027
1635	31495	7007
1636	31511	6987
1637	31527	6967
1638	31545	6948
1639	31561	6928
1640	31579	6908
1641	31605	6890
1642	31623	6871
1643	31640	6851
1644	31657	6831
1645	31682	6813
1646	31702	6794
1647	31724	6776
1648	31743	6756
1649	31761	6737
1650	31778	6717
1651	31799	6698
1652	31818	6679
1653	31834	6659
1654	31853	6640
1655	31871	6620
1656	31888	6600
1657	31905	6581
1658	31927	6562
1659	31943	6542
1660	31960	6522
1661	31977	6503
1662	31994	6483
1663	32014	6464
1664	32031	6444
